135840_4_0001,0,1,0,1,0,0,0
159769_2_0001,0,1,0,0,0,0,0
94590_2_E2,1,1,0,0,0,0,0
a1g11c1-3peak.0001,0,1,1,0,0,0,0
165065_2_0001,1,1,1,0,0,0,0
T1266_1_001,0,1,1,1,0,0,0
idp04731a,0,1,0,1,0,0,0
65846_1_E1_001,1,1,0,0,0,0,0
215949a5_a0201,0,1,1,1,0,0,0
196603_2_00001,0,0,1,0,0,0,0
54183_1_E2_001,1,1,1,0,0,0,0
m2e11g-peak.0001,0,1,0,0,0,0,0
154138_2_0001,1,1,1,0,0,0,0
60086_2_001,1,0,0,0,0,0,0
TM1782B4_103_001,0,1,0,1,1,0,0
a110-m4d10gly.0001,0,1,1,0,0,0,0
gdy9-5_1_00001,0,1,0,1,0,0,0
165231_2_0001,0,0,1,0,1,0,0
idp01616u,0,1,0,1,0,0,0
105426_1_001,0,1,0,0,0,0,0
108894_2_001,0,0,0,0,0,0,0
IDP00739_katm_19_3_2_0001,1,1,1,0,0,0,0
152414_1_E1_0001,1,1,1,0,0,0,0
55006_2_001,1,1,0,0,0,0,0
70727_1_001,1,1,1,0,0,0,0
IDP01439_H-E-2_19-id_1_0001,0,0,1,0,0,0,0
kfr0-6,0,1,0,0,0,0,0
mGTPM4G2gly-peak.0001,0,1,0,1,0,0,0
205032_2_00001,0,1,1,0,1,0,0
163446_1_E2_0001,0,1,0,0,0,0,0
19456_1_E2_001,0,1,0,0,0,0,0
ges3-5,0,1,0,0,0,0,0
14795_2_001,1,0,1,0,0,0,0
61303_1_E1_001,0,1,0,0,0,0,0
74875_1_E2_001,1,1,0,1,0,0,0
022848_katm_5_1_1_0001,0,1,1,0,0,0,0
CPX200403_d2_M3_A7_data.0001,0,1,0,0,0,0,0
13089_2_001,0,0,0,0,0,0,0
120919_4_E1_001,1,1,1,0,0,0,0
44338_3_E1_001,1,0,0,0,0,0,0
83548_2_001,1,0,1,0,0,0,0
200149_1_E2_00001,1,1,1,0,0,0,0
wjm1-6,0,1,0,0,0,0,0
pfb1-6,1,1,1,0,0,0,0
C5_2_001,1,1,0,0,0,0,0
55006_1_E1_001,1,1,1,0,0,0,0
89622_2_001,1,1,1,0,0,0,0
151666_1_E1_0001,1,0,1,0,0,0,0
103543_1_001,1,0,0,0,0,0,0
56112_2_001,1,1,1,0,0,0,0
WKY6_14_1_001,0,1,1,0,0,0,0
IDP2103B_PKa.0001,0,0,1,0,0,0,0
195823_1_E1_00001,0,0,1,0,0,0,0
85600_2_001,1,0,1,0,0,0,0
IDP91963-3,0,1,1,0,0,0,0
2607_2_001,1,1,1,0,0,0,0
168677_1_0001,1,0,0,0,0,1,0
27127_1_E2_001,1,0,1,0,0,0,0
146136_1_0001,1,1,1,1,0,0,0
236782g5_x1001,1,1,1,1,0,0,0
153055_1_E2_0001,1,1,1,0,0,0,0
156933_2_0001,0,0,0,0,0,0,0
ekw2_4_1_001,0,1,0,0,0,0,0
61817_1_E2_001,0,1,0,0,0,0,0
201069_1_E2_00001,1,1,1,0,0,0,0
p4_1_E2_001,0,1,0,0,0,0,0
143230_1_E1_0001,1,1,1,0,0,0,0
82007_3_001,1,1,0,0,0,0,0
47717_2_E1_001,0,1,1,0,0,0,0
196606_1_E2_00001,1,1,1,0,0,0,0
tk-xf12-soak-ca-2.0001,0,1,0,0,0,0,0
200362_1_E1_00001,0,1,0,0,0,0,0
55315_2_001,0,0,0,0,0,1,0
rqr4-6,0,1,0,0,0,0,0
154505_2_0001,1,1,1,0,0,0,0
95390_2_E2,1,1,0,0,0,0,0
100744_1_001,1,1,1,0,0,0,0
158220_1_E2_00001,0,0,1,0,0,1,0
38495_1_E1_001,1,1,0,0,0,0,0
cjs5-7,0,1,0,0,0,0,0
60114_1_E2_001,1,1,0,0,0,0,0
84291_2_001,1,1,1,0,0,0,0
123222_1_001,1,0,1,0,0,0,0
T2091_E1_1_001,0,0,1,0,0,0,0
83476_2_001,0,0,1,0,0,0,0
57133_1_E1_001,1,1,1,0,0,0,0
121762_1_001,1,1,1,0,0,0,0
5995_3_001,0,0,1,0,0,1,0
142507_1_E1_0001,0,1,1,0,0,0,0
56381_3_001,0,0,1,1,0,0,0
159473_1_E1_0001,0,1,1,0,0,0,0
91320_2_001,1,0,0,0,0,0,0
CdPiminC3eg.0001,0,1,1,0,0,0,0
176318_1_E1_00001,0,1,1,0,0,0,0
JBL6-16_1_001,1,0,1,0,0,0,0
99049_2_001,0,0,1,0,0,0,0
95462_2_E1,1,1,0,0,0,1,0
198553_1_E2_00001,1,1,1,0,0,0,0
14775_3_001,0,1,0,0,0,0,0
218475d8_x0001,0,1,1,0,0,0,0
XV1_STAM0001_40001,0,0,1,0,0,0,0
56038_4_001,0,0,0,1,0,1,0
l-asp-m1c7eg-2.0001,0,1,1,0,0,0,0
267315h4_x0001,1,1,1,0,0,0,0
116815_2_001,0,1,1,1,0,0,0
10230_7_001,0,0,0,0,0,0,0
34560_1_E2_001,0,1,1,0,0,0,0
151434_2_0001,0,0,1,1,0,0,0
111735_IND_H8_data.0001,0,0,0,0,0,1,0
119689_1_001,1,1,1,0,0,0,0
146832_2_0001,0,1,1,1,0,0,0
175484_1_00001,1,1,1,0,1,0,0
119173_1_E2_001,0,1,1,0,0,0,0
86292_2_001,0,0,0,1,0,1,0
70622_1_E1_001,1,1,1,0,0,0,0
PC05870B_19_7_1_001,1,1,0,0,0,0,0
kas6-4,0,1,0,1,0,0,0
idp90611b,0,0,0,1,0,1,0
idp01139_3Q6D.0001,0,1,0,1,0,0,0
11039_2_001,0,0,0,0,0,0,0
49157_2_001,1,1,1,0,0,0,0
9664low_3_001,0,0,0,0,0,0,0
25602_1_E2_001,1,1,1,0,0,0,0
107623_1_E2_001,0,1,1,0,0,0,0
13055_5_001,0,0,0,0,0,0,0
3h0p_stm1194_n1_nat_2,0,1,0,0,0,1,0
183754_2_00001,1,1,1,0,1,0,0
efe0002_sad_0001,0,1,1,0,0,0,0
48870_2_001,1,1,1,0,0,0,0
rux3-9,0,1,0,0,0,0,0
49967_2_001,0,1,0,1,0,0,0
HDAC6-x304_1_0001,0,0,1,0,0,0,0
144619_2_0001,1,1,1,0,0,0,0
174308_2_00001,1,0,1,0,0,0,0
IDP02729-1b,0,1,0,1,0,0,0
52483_1_E1_001,0,0,1,1,0,0,0
ybn6_7_1_001,0,1,0,0,0,0,0
156933_1_E1_0001,1,1,1,0,0,0,0
89326_1_001,0,1,1,0,0,0,0
lpg1851_x10b_pk2.0001,1,0,1,1,0,1,0
255936e1_high_x0001,0,0,1,0,1,1,0
107586_Zn_1_001,1,1,1,0,0,0,0
IDP02237-3,0,0,0,1,0,0,0
134075_1_E2_0001,0,1,1,0,0,0,0
11188_4_001,1,0,1,0,0,1,0
sm4g12ge2.0001,0,1,0,0,0,0,0
60576_2_001,1,1,0,0,0,1,1
4-m1g3g2-peak.0001,0,1,0,1,0,0,0
29762_3_001,1,1,1,0,0,1,0
9258_1_E2_001,0,1,0,0,0,0,0
225985d11_x0001,1,1,1,0,0,0,0
82268_1_E2_001,1,1,1,0,0,0,0
175921_1_E2_00001,1,0,1,0,0,0,0
25076_2_E2_001,1,1,0,0,0,0,0
UVH3-3set,0,0,0,1,0,0,0
64161_1_E2,1,0,0,1,0,1,0
217759b6_x0001,0,0,0,0,0,1,0
19057_1_E1_001,0,1,0,1,0,0,0
23183_1_E1_001,1,1,1,0,0,0,0
ENC0005_1_175_Dec7_2016_collect_0301,0,1,1,0,0,0,0
206697_1_E1_00001,0,1,1,0,0,0,0
sbq8-1,0,1,0,0,0,0,0
d3_p9_103_001,0,0,0,0,0,0,0
PY4_setdb1_2_screen_0001,0,0,1,0,1,0,0
13120_1_E1_001,0,1,1,0,0,0,0
T3527_1_E3_001,0,1,0,1,0,0,0
1732-m1d7g-peak.0001,0,1,1,0,0,0,0
62581_1_001,1,1,1,0,0,0,0
u1_t3.0001,1,0,1,0,0,0,0
90779_3_001,1,0,1,0,0,0,0
idp90611e,0,1,0,1,0,0,0
157245_1_0001,0,1,1,0,0,0,0
84630_1_001,1,1,1,0,0,0,0
54314_2_001,1,1,1,0,0,0,0
29pgc-pc-a11g.0001,0,1,0,1,0,0,0
jcp2-9,1,0,0,0,0,0,0
IDP00909-1,0,1,0,1,0,0,0
162347_1_E2_001,0,0,0,0,0,1,0
INDF7-gly1-peak.0001,1,1,1,0,0,0,0
262682g4_y0100,1,1,1,0,1,0,0
93611_1_E1,1,1,0,0,0,0,1
126298_1_E2_001,1,0,1,0,0,0,0
74945_1_E3_001,1,0,1,1,0,0,0
36658_1_E2_001,0,1,0,1,0,0,0
179482_1_00001,1,1,1,0,1,0,0
163108_1_E1_0001,1,1,1,0,0,0,0
xwx3-10,0,1,0,0,0,0,0
285996c10_0001,0,1,1,1,0,0,0
21c10p2_2_E2_001,0,1,0,0,0,0,0
1246P_2_001,1,1,0,0,0,0,0
idp02310-1_B,0,1,0,1,0,0,0
155626_1_E2_0001,1,0,0,0,0,1,0
172170_2_00001,0,0,1,0,1,1,0
171391_1_E2_001,0,1,0,0,0,0,0
184274_1_00001,1,1,1,0,1,0,0
rjo4-1,0,1,0,0,0,0,0
15533_1_E2_001,1,0,1,0,0,0,0
stm3982-2_A,1,1,0,0,0,0,0
13055_1_001,1,0,1,1,0,0,0
36319_1_E1_001,1,1,1,0,0,0,0
m1-a9e.0001,0,1,0,0,0,0,1
sam-pic12-peak.0001,0,1,0,1,0,0,0
AssviHisAp_PFAR_M2_G3_data.0001,0,1,0,1,0,0,0
106568_1_E2_001,1,0,1,0,0,0,0
77278_1_E1_001,1,1,1,0,0,0,0
197652_2_00001,1,0,1,0,1,0,0
135560_2_0001,1,1,1,0,0,0,0
140722_2_0001,0,1,0,0,0,0,0
fdi5-8,0,1,0,0,0,0,0
35664_1_E1_001,1,1,1,0,0,0,0
285574g2_z_0001,0,1,1,0,1,0,0
53256_1_E2_001,0,1,1,0,0,0,0
92029_1_E1_001,1,0,1,0,0,0,0
e6x_3.0701,0,1,0,0,0,0,0
12525_4_E3_001,1,0,0,0,0,0,0
337_SubTrpf_misl_M2_A5_low.0001,0,1,0,1,0,0,0
30484_1_E1,1,0,0,0,0,1,0
262775a12_z20001,0,1,1,1,0,0,0
puck32-10_lr_2_001,0,1,0,0,0,0,0
34601_2,0,1,0,0,0,0,0
UFB4_3,0,1,0,1,0,0,0
185512_1_001,1,0,0,0,0,1,1
98291_1_001,1,1,1,0,0,0,0
xtal1_addF5.0001,0,1,1,0,1,0,0
36184_1_E2_001,0,1,1,1,0,0,0
111733_M1_f6_data.0001,0,1,0,0,0,0,0
ach0001_Tob4_3Apr12_collect_120mm_300sec_0001,0,0,1,0,0,0,0
181388_1_E2_00001,0,1,1,0,0,0,0
12058_1_E3_001,0,1,0,1,0,0,0
rzw4_1_3_7,0,1,0,0,0,0,0
52025_1_E2_001,1,1,1,0,0,0,0
10230_5_E2_001,1,1,0,0,0,0,0
18574_1_E1_001,0,0,1,1,0,1,0
47717_1_E2_001,0,1,1,0,0,0,0
210571_1_E1_00001,1,0,1,0,0,0,0
207064_1_00001,1,0,1,0,1,0,1
IDP04689-2,0,1,0,1,0,0,0
13022_1_001,0,1,0,0,0,0,0
rux3-7,0,1,0,0,0,1,0
kgc9-3,0,1,0,0,0,0,0
id2164-1_A,0,1,0,1,0,0,0
90308_2_001,1,1,1,0,0,1,0
7162_3_001,0,0,0,0,0,0,0
139313_1_E1_0001,1,1,1,0,0,0,1
149284_1_E1_0001,1,1,0,0,0,0,0
apc103670c,0,0,0,1,0,1,0
IDP91216-1,0,1,0,1,0,0,0
149187_1_E2_0001,1,0,1,0,0,0,0
63720_1_E2,1,1,1,0,0,1,0
81309_1_E2_001,1,1,1,0,0,0,1
113488_1_E1_001,1,1,1,0,0,0,1
257704f1_x0001,0,1,1,0,0,1,0
90356_2_001,0,0,1,0,0,1,0
60444_3_001,1,1,0,0,0,0,0
82888_2_001,0,0,1,1,0,0,0
15048_2_001,0,1,0,0,0,0,0
163636_1_E1_0361,0,1,0,1,0,0,0
179565_2_00001,1,1,1,0,0,0,0
200822_1_00001,1,0,1,0,1,0,0
191124_1_E1_00001,1,1,0,1,1,0,0
101320_2_001,1,0,1,0,0,0,0
155043_1_E2_0001,1,0,1,0,0,0,0
198681_1_E2_00001,1,1,1,0,0,1,0
peak-2.0001,0,1,1,0,0,0,0
20044_2_E1,0,1,1,1,0,0,0
a2c1-peak.0001,0,1,1,0,0,0,0
159525_2_E1_0001,1,0,1,0,0,0,0
159525_1_E2_0001,1,1,1,0,0,0,0
1001_M2_B7_low.0001,0,1,1,0,0,0,0
cps-044-3_1_001,0,1,0,0,0,0,0
61537_3_E1_001,0,1,1,0,0,0,0
211518_2_00001,1,1,1,0,0,0,0
265800f4_xx0001,0,0,1,0,0,0,0
12217_2_001,0,0,0,0,0,0,0
12562_4_E1_001,1,0,0,0,0,0,0
idp90293b,1,1,0,0,0,0,0
bjp_plate2-b3_1_001,0,1,0,1,0,0,0
14851_2_001,1,0,1,0,0,0,0
m1a11g.0001,0,1,0,1,0,0,0
rkr2_4_1_001,0,1,0,1,0,1,0
172008_1_E2_001,1,1,1,0,0,0,0
68112_4_001,1,1,1,0,0,0,0
186527_2_E1_001,1,0,1,0,0,0,1
211010_1_E1_00001,1,0,1,0,1,0,1
TK-1-H2-x1-low.0001,0,1,0,1,0,0,0
49157_1_E2_001,1,1,1,0,0,0,0
130597_1_E1_001,1,1,1,0,0,0,0
IDP91546-1b,0,1,0,1,0,1,0
113120_1_E1_001,1,1,1,0,0,0,1
xtal_4_scan_D2_low.0001,0,1,0,0,0,1,0
T3996_3_001,0,0,0,0,0,0,0
17908_1,0,1,1,0,0,0,0
26958_2_001,1,0,1,0,0,0,1
79774_1_E1_001,1,0,1,0,0,0,1
107325_2_001,1,1,1,0,0,0,1
73340_2_001,1,1,1,0,0,0,0
M1G2a.0001,1,1,1,0,0,0,0
11921_3_E3_001,1,1,1,0,0,0,0
3985_1_001,1,0,0,1,0,0,0
11820_2_001,0,1,0,0,0,0,0
3332_2_001,1,0,0,0,0,0,0
40464_1_E2_001,1,1,1,0,0,0,0
IDP01787-2_2_B,0,1,0,0,0,0,0
vnb7-4,1,1,0,0,0,0,0
T1588-822_1_E3_001,0,0,0,0,0,1,0
44283_1_E1_001,0,0,1,0,0,0,0
20370_1_E1_001,0,0,1,0,0,0,0
HUW5-15_1_001,1,1,1,0,0,0,0
mj67_d10ab,0,1,0,0,0,0,0
T3017_5_001,0,0,1,0,0,0,0
196802_1_00001,1,0,1,0,1,0,0
STR0003-1,0,1,0,1,0,0,0
IDP05410-4d,1,1,1,0,0,1,0
3893_3_E1_001,1,1,0,0,0,0,0
I5-29_t1,0,1,0,1,0,0,0
IDP00044_G5_C6_1_2_0001,1,0,1,1,0,0,0
122185_1_E1_001,1,1,1,0,0,0,0
65408_1_E1,0,1,0,1,0,0,0
T3017_1_E1_001,0,0,1,0,0,0,0
CAA0034_collect_Dec13_2016_0401,0,0,1,0,0,0,0
168601_1_E2_0001,1,1,1,0,0,0,0
218438h2_y0001,0,1,1,0,0,0,0
138060_1_E2_0001,1,0,1,0,0,0,0
154138_1_E1_0001,1,1,1,0,0,0,1
186871_1_E1_001,1,1,0,0,0,0,1
180999_2_00001,1,1,1,0,0,0,0
x257392_real_00001,0,0,1,1,0,1,0
77278_2_001,1,1,1,0,0,0,0
76161_1_E1_001,1,0,1,1,0,0,0
izz8-4,0,1,0,0,0,0,0
77848_1_E1_001,0,1,1,0,0,0,1
9611_1_001,1,1,0,0,0,0,0
idp01705-n1_B,0,1,0,1,0,0,0
16-m2b3g-peak.0001,0,1,0,1,0,0,0
APC234_Iy-4_1_0001,0,1,0,1,0,0,0
mj67_d10a,0,1,0,0,0,0,0
209049_2_00001,1,1,1,0,1,0,0
91320_1_E2_001,1,1,1,0,0,0,0
92225_1_E1_001,1,0,1,0,0,0,0
183667_1_E2_00001,1,0,1,0,1,0,0
76429_2_001,1,0,1,0,0,0,0
23c28p2_2_001,0,0,1,0,0,0,0
157727_1_0001,1,1,1,0,0,0,0
111270_M4_G11_data.0001,0,1,0,1,0,0,0
63791_1_E2,0,1,1,0,0,0,0
lnk6-1,0,1,0,0,0,0,0
217062a8b_x0010,0,1,1,0,0,0,0
61643_1_E2_001,1,1,0,0,0,0,0
206645h12_z0001,0,1,1,0,1,0,0
T2265_1_001,0,0,0,1,0,1,0
d3_p9_1_001,1,0,0,0,0,0,1
24756_3_E1_001,1,0,1,0,0,0,0
144591_2_0001,1,1,1,0,0,0,1
21c10p2_1_E1_001,1,1,1,1,0,0,0
95955_1_E1,0,1,0,0,0,0,1
DCB19_6_1_001,0,1,1,0,0,1,0
51247_1_E1_001,1,0,1,0,0,1,0
75674_1_E2_001,0,1,0,0,0,1,0
APC6354_Ih-87_1_0001,1,0,1,0,0,0,0
44931_1_E2_001,1,1,1,0,0,0,1
216496e11_a0401,0,1,1,0,0,0,0
27867_2_001,1,1,1,0,0,0,1
IDP05410-4c,1,1,1,0,0,1,0
119698_1_E1_001,1,0,1,0,0,0,0
149178_1_E1_0001,1,1,1,0,0,0,0
bdu3-10lowres,0,1,0,1,0,0,0
IDP01038_3ghz.0401,0,1,0,1,0,0,0
97004_1_E1,0,1,0,1,0,1,1
12996_2_E2_001,1,0,1,0,0,0,0
IDP05684CoA_PKa.0001,1,1,0,0,0,0,0
126867_1_001,0,0,1,1,0,1,0
186408_2_00001,1,0,1,0,1,0,0
15625_1_E3_001,1,1,0,0,0,0,0
60620_1_E1_001,0,1,0,0,0,0,0
vmk5_1_1_001,0,1,1,0,1,1,0
77741_1_E2_001,0,1,0,0,0,0,1
180999_3_E1_00001,0,1,1,0,0,0,0
test_4_001,1,1,1,0,1,0,0
18547_1_001,1,1,1,0,0,0,0
255936e1_x0001,0,0,1,0,1,1,0
30918_2,0,1,0,1,0,0,0
284201at_tip_x_0001,0,0,1,0,1,0,0
98291_3_E1_001,1,1,1,0,0,0,0
c1m_2_001,1,1,0,0,0,0,0
idp1723-1_A,0,1,0,0,0,0,0
190819_1_E2_00001,1,0,1,0,1,0,0
HsProlMut1_Mn_GP_pH69_nat_2_0001,0,1,0,0,0,0,0
107516_1_E2_001,1,1,1,0,0,0,1
137775_1_E1_0001,0,1,1,0,0,0,1
IDP05735-3,1,1,0,0,0,0,0
ic11-2-peak3.0001,1,1,0,1,0,0,0
257491b7_z0001,0,1,1,0,0,0,0
13120_3_001,0,1,1,0,0,0,0
idp90922a,0,1,0,0,0,0,0
187937_1_E1_001,0,1,0,0,0,0,1
F1967_0912_screen_0001,0,0,1,0,1,1,0
idp04176g,0,1,0,0,0,0,0
anomalous_IDP00577-5b,0,1,0,0,0,0,0
IDP02733_3M5P.0001,0,1,0,1,0,0,0
170434_2_001,0,0,0,0,0,1,0
165956_1_E1_0001,1,1,1,0,1,1,1
180999_1_E2_00001,0,1,1,0,0,0,0
63667_1_E1,1,1,0,0,0,1,0
25076_1_E1_001,1,1,1,0,0,0,1
184206_1_00001,1,1,1,0,1,0,1
114340_1_E1_001,1,1,1,0,0,0,1
KDM4B_1s,0,1,0,0,0,0,0
13120_2_E2_001,0,1,1,0,0,0,0
TUC-8_4_1_001,0,0,0,0,0,0,0
130716_1_E1_001,1,0,1,0,0,0,1
112971_2_001,1,1,1,0,0,0,1
ic7-2su.0001,0,0,0,1,0,1,0
rgo9-7,0,1,0,1,0,0,0
136883_2_001,0,1,0,0,0,0,0
34719_1_E1,0,1,0,0,0,0,0
17c10p4_2_E1_001,0,1,0,0,0,0,1
115852_1_001,1,1,1,0,0,0,0
22755_1_E2_001,1,1,1,0,0,0,0
73340_1_E2_001,1,1,1,0,0,0,1
u1_s4.0001,0,1,1,0,0,0,0
211010_1_E2_00001,1,1,1,0,1,0,1
93357_1_E2_001,0,1,1,0,0,0,1
233128a2_x0001,0,1,1,0,0,0,0
quk9-15_4_00001,0,0,1,1,0,1,0
WTT6-9_1_001,0,1,1,0,1,0,0
217183b6-amp_hires_0001,0,0,1,0,1,1,0
ppm3D3-peak.0001,1,0,1,0,0,0,0
96452_1_E1,1,0,1,0,0,0,1
m1g1eg.0001,0,1,0,0,0,0,0
188066_1_E1_001,0,0,0,0,0,1,1
10849_1_E2_001,0,0,0,0,0,0,0
107810_1_E1_001,1,0,1,0,0,0,1
151759_3_00001,1,0,1,0,1,0,0
264490e5_x20001,0,1,1,0,1,0,0
idp91106m,0,0,0,1,0,1,0
100346_M1_B8_high.0001,0,1,0,1,0,0,0
143501_2_0001,1,0,1,0,0,0,0
257500d1_0001,1,0,1,0,0,0,0
imp-q21-ih5eg.0001,0,1,1,0,0,0,0
45407_1_E2_001,1,1,1,0,0,0,1
138499_2_0001,1,1,0,0,0,0,0
46502_1_E1_001,1,1,1,0,0,0,1
199055_1_E2_001,0,0,0,0,0,1,0
10911_3_001,1,0,1,0,0,0,0
179492_2_00001,1,1,1,0,1,0,0
T2091_E3_1_001,0,0,1,0,0,0,1
T2869_1_E3_001,0,1,0,0,0,0,0
10690_1_E2_001,1,0,1,0,0,0,0
idp91753a,1,1,1,1,0,0,0
17386_1,1,1,1,0,0,0,0
C8_2_2_00001,0,1,1,0,0,0,0
40028_1_E2_001,1,0,1,0,0,0,0
9N_32.0001,1,1,1,0,0,0,0
13Feb15_n1_collect_sweep2_0001,0,1,1,0,1,0,0
phi180_0001,0,0,1,0,1,0,0
m4d9g-1.0001,0,0,0,1,0,0,0
56381_1_E2_001,0,0,1,0,0,0,0
55404_1_E2_001,1,1,1,0,0,0,0
fmc3-8,0,1,0,1,0,0,0
210571_1_E2_00001,1,0,1,0,1,0,0
47532_1_E2_001,0,0,1,0,0,0,0
207064_2_00001,1,0,1,0,1,0,1
85916_4_001,1,0,1,0,0,0,0
idp05469.2a,1,1,0,0,0,1,0
tm0875_8p44_1_E2_001,0,1,0,0,0,0,0
127933_1_E2_001,1,0,1,0,0,0,0
tlg6_3_1_001,1,1,0,1,0,0,0
181388_1_E1_00001,1,0,1,0,0,0,0
T1588-822_102_E2_001,0,1,0,0,0,0,0
IDP05108-4,0,1,0,1,0,1,0
100019_2_001,1,0,1,0,0,0,0
136883_1_E2_001,0,1,0,0,0,0,1
m3c4no2.0001,0,1,1,0,0,0,0
140569_1_E1_0001,1,1,1,0,0,0,0
185723_1_E2_001,0,1,0,0,0,0,1
211518_1_00001,1,0,1,0,0,0,0
103946_3_001,0,1,1,0,0,0,1
10562_M4_g1_3_data.0001,1,1,1,0,0,0,0
89520_1_E2_001,0,0,1,0,0,0,0
17c2p3_4_001,1,1,1,0,1,0,0
185538_1_001,1,1,1,0,0,0,1
141921_2_0001,1,1,1,0,0,0,0
46896_1_E1_001,0,0,1,1,0,1,0
93310_1_001,1,1,1,0,0,0,0
KDM4A-3,0,1,0,0,0,0,0
198681_1_E1_00001,1,1,1,0,1,0,1
85341_2_001,0,1,1,0,0,1,0
144187_1_E1_0001,0,1,0,0,0,0,0
191124_1_E2_00001,1,0,1,1,1,0,0
11280_3_001,1,1,1,1,0,0,0
244377g6_y0001,0,0,1,0,0,1,0
121774_3_001,0,1,0,1,0,0,0
181388_2_00001,1,0,1,0,0,0,0
116815_1_E1_001,0,1,1,1,0,0,0
xwx3-6,0,0,0,0,0,1,0
idp02485.402sm-b,1,0,0,0,0,1,0
159700_1_E2_0001,0,1,0,0,0,0,0
ja1_2_001,0,1,1,0,0,0,0
pip-c9ge-1peak.0001,0,1,0,1,0,0,0
if7g-peak.0001,0,1,0,0,0,0,0
203781h1_1M_KI_y0001,0,1,1,0,0,0,0
28056_17_E1_001,1,0,1,0,0,0,0
57548_1_E2_001,0,1,1,0,0,0,0
106933_1_E2_001,0,1,0,1,0,0,0
257485c12_x0001,1,1,1,1,0,0,0
idp00968a,0,1,0,1,0,0,0
43942_2_001,1,0,1,0,0,0,0
IDP95660-4,0,1,0,1,0,1,0
190819_1_E1_00001,0,0,1,0,0,0,0
9969_4_001,1,1,0,0,0,0,1
25011_1_E2_001,0,0,1,0,0,1,0
65408_2,0,1,0,0,0,0,0
46896_2_001,0,0,0,1,0,1,0
92036_1_E2_001,0,1,1,0,0,0,0
15154_1_E2_001,1,0,1,0,0,0,0
261062c8_z20001,0,1,1,0,1,0,0
ENY1_1_1_001,0,1,0,0,0,0,0
91156_1_E2_001,1,0,1,0,0,1,0
idp02531-1_A,0,1,0,0,0,0,0
aik4-15_16_00001,1,1,1,0,0,0,0
180999_3_E2_00001,0,1,1,0,0,0,0
non-anomalous_IDP00335-1b,1,1,0,0,0,0,0
jgp5-6b,0,1,0,0,0,0,0
49893_1_E1_001,1,1,1,0,0,0,0
91709_1_E1_001,0,1,1,0,0,1,1
113062_1_E1_001,0,1,0,0,0,0,1
148872_1_E2_0001,1,1,1,0,0,0,1
58118_2,0,0,0,1,0,0,0
p8_c11_00001,0,1,0,0,0,0,0
107112_1_001,1,0,1,0,0,0,0
21629_1_E1_001,1,0,1,0,0,1,0
36121_1_E2_001,1,0,1,0,0,0,0
1507_102_dropb3M2-29-gly-high.0001,0,1,1,0,0,0,0
bfw9-7,0,1,0,0,0,0,0
121017_2_001,1,0,0,0,0,0,0
IDP91947-1,1,1,0,0,0,1,0
180999_1_E1_00001,1,1,1,0,0,0,0
55056_1_E1_001,1,1,1,0,0,0,0
nys3_b3a,0,1,0,1,0,0,0
GW0004_1_867-1,0,1,0,0,0,0,0
81605_1_E2_001,1,0,1,0,0,1,0
x1-high.0001,0,0,1,0,1,0,0
x249641.0001,0,1,1,0,0,0,0
257193a2_y0001,0,0,1,0,0,0,0
ESPG2_M1_B5_x3_data.0001,0,0,1,0,0,0,0
123353_1_E1_001,1,0,1,0,0,0,0
62506_1_E2_001,0,0,0,0,0,0,0
11319_1_001,0,1,0,0,0,0,0
10301_2_001,0,0,0,0,0,0,0
88778_1_E2_001,1,0,1,0,0,0,1
